Feature,Importance_Weight
hour_of_day,0.1824821
uv_index,0.066222645
visibility_penalty,0.054991525
distance_km,0.04742956
mrt_status,0.040001914
source_count,0.039639328
severity_index,0.038757782
is_peak_hour,0.03269077
is_weekend,0.031878937
rain_accumulation_3h,0.03141901
mrt_headway,0.031003654
co_level,0.030526528
no2_level,0.03048506
is_monsoon,0.029950822
osrm_eta_min,0.028806334
is_extreme_weather,0.028178796
wmo_rain_category,0.027896896
horizon_min,0.027138652
weather_condition_encoded,0.026740467
month,0.025937632
weather_code,0.025628753
rain_x_peak_hour,0.025192492
pm2_5,0.021905625
pm10,0.020739518
is_holiday,0.020134343
day_of_week,0.019518292
aqi,0.01470275
